TTDTargetID	Target_Name	Indication	症状	ICD9	ICD10
T02333	Growth hormone receptor	Growth hormone deficiency	生长激素缺乏症	"253.0, 253.3"	"E22.0, E23.0"
T02333	Growth hormone receptor	Obesity	肥胖	278	E66
T02333	Growth hormone receptor	Unspecified	未指定		
T02532	T-cell surface antigen CD2	Cancer; Psoriasis	癌症;银屑病	"140-229, 696"	L40
T02532	T-cell surface antigen CD2	Lymphoma	淋巴瘤	"202.8, 208.9"	C81-C86
T02546	Sodium channel protein type 4 subunit alpha	Nervous and musculoskeletal disorders	神经和肌肉骨骼疾病		R25-R29
T02546	Sodium channel protein type 4 subunit alpha	Pain	疼痛	"338, 356.0, 356.8,780"	"G64, G90.0, R52, G89"
T02551	D(3) dopamine receptor	Cocaine addiction	可卡因成瘾	304.2	F14.2
T02551	D(3) dopamine receptor	Drug abuse	吸毒	303-304	F10-F19
T02551	D(3) dopamine receptor	Emesis; Gastric motility disorder	呕吐;胃动力障碍	"294.1, 307.23, 314.00, 314.01, 320-322, 323, 331.0, 332, 333.4, 340, 344.1, 344.81, 348.0, 536.8, 787"	"F02.2, F02.3, F90, F95.2, G00-G37, G83.5, G93.0"
T02551	D(3) dopamine receptor	Female sexual dysfunction	女性性功能障碍	302.7	F52
T02551	D(3) dopamine receptor	Male sexual disorders	男性性疾病		F52
T02551	D(3) dopamine receptor	Psychotic disorders	精神病	290-299	F20-F29
T02551	D(3) dopamine receptor	Schizophrenia	精神分裂症	295	F20
T02551	D(3) dopamine receptor	Unspecified	未指定		
T02562	Prostaglandin E synthase	Alzheimer disease	老年痴呆症	331	G30
T02591	HIV env	HIV-1 infection	HIV-1感染	"001-139, 042"	B20-B24
T02591	HIV env	Human immunodeficiency virus infection	人类免疫缺陷病毒感染	279.3	B20-B26
T02598	Leukocyte	Inflammatory disorder	炎性疾病		
T02617	Transferrin	Cancer	癌症	140-229	C00-C96
T02677	Baculoviral IAP repeat-containing protein 5	Cancer	癌症	140-229	C00-C96
T02677	Baculoviral IAP repeat-containing protein 5	Ovarian cancer	卵巢癌	183	C56
T02677	Baculoviral IAP repeat-containing protein 5	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
T02686	multiple oncokinase	Glioblastoma multiforme	胶质母细胞瘤	191	C71
T02702	Bacterial DHFR	Bacterial infections	细菌感染	"001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104"	A00-B99
T02703	"Nitric oxide synthase, inducible"	Asthma	哮喘		J45
T02703	"Nitric oxide synthase, inducible"	Coronary artery disease	冠状动脉疾病	"410-414, 429.2"	I20-I25
T02703	"Nitric oxide synthase, inducible"	Diabetic kidney disease	糖尿病肾病		E11.22
T02703	"Nitric oxide synthase, inducible"	Endotoxic shock	内毒素休克		R57.8
T02703	"Nitric oxide synthase, inducible"	Inflammatory disease	炎性疾病	"140-229, 147, 173, 573.3, 710-719"	"C11, C44, K75.9, M00-M25"
T02703	"Nitric oxide synthase, inducible"	Osteoarthritis	骨关节炎	715	"M15-M19, M47"
T02703	"Nitric oxide synthase, inducible"	Pain	疼痛	"338, 356.0, 356.8,780"	"G64, G90.0, R52, G89"
T02703	"Nitric oxide synthase, inducible"	Restenosis	再狭窄		I51.89
T02703	"Nitric oxide synthase, inducible"	Septic shock	败血性休克	785.52	A41.9
T02719	Metabotropic glutamate receptor3	Alzheimer disease; Major depressive disorder	阿尔茨海默氏病；严重抑郁症	"331, 296.2, 296.3, 710.0"	"G30, F32, F33, M32"
T02719	Metabotropic glutamate receptor3	Anxiety disorder	焦虑症	"300, 311"	"F32, F40-F42"
T02719	Metabotropic glutamate receptor3	Schizophrenia	精神分裂症	295	F20
T02728	Neurotensin receptor type 1	Acute or chronic pain	急性或慢性疼痛	"338,780"	"R52, G89"
T02728	Neurotensin receptor type 1	Alcohol use disorders	饮酒障碍	303	F10.2
T02728	Neurotensin receptor type 1	Inflammatory bowel disease	炎症性肠病	"555, 556"	"K50, K51"
T02728	Neurotensin receptor type 1	Neurological disease	神经系统疾病	"338, 338.2, 410, 782.3,780"	"I21, I22, R52, R52.1-R52.2, R60.9, G89"
T02728	Neurotensin receptor type 1	Pain	疼痛	"338, 356.0, 356.8,780"	"G64, G90.0, R52, G89"
T02752	C-C chemokine receptor type 3	Allergic rhinitis	过敏性鼻炎	"472.0, 477, 995.3"	"J00, J30, J31.0, T78.4"
T02752	C-C chemokine receptor type 3	Asthma	哮喘		J45
T02762	Replacing the 17 beta-estradiol and progesterone hormones the body has stopped producing as the result of menopause	Endometriosis	子宫内膜异位症	617	N80
T02777	SUR2-type K(ATP) channel	Angina pectoris	心绞痛	413	I20
T02777	SUR2-type K(ATP) channel	Diabetes	糖尿病	"253.5, 588.1"	"E23.2, N25.1"
T02779	mRNA	Systemic lupus erythematosus	系统性红斑狼疮	710	M32
T02808	Interferon beta ligand	Acute lung injury	急性肺损伤	518	J80
T02808	Interferon beta ligand	Autoimmune diabetes	自身免疫性糖尿病		E08-E13
T02808	Interferon beta ligand	Glioblastoma multiforme	胶质母细胞瘤	191	C71
T02808	Interferon beta ligand	Multiple scierosis	多发性硬化	340	G35
T02808	Interferon beta ligand	Type 2 diabetes	2型糖尿病	250	E11
T02808	Interferon beta ligand	Unspecified	未指定		
T02890	Luteinizing hormone-releasing hormone	Prostate cancer	前列腺癌	185	C61
T03006	Acetylcholine release inhibitor and neuromuscular blockor	Cervical cancer	宫颈癌	180	C53
T03046	Pancreatic cancer caused by mutated versions of the RAS protein	Ras mutation positive pancreas cancer	Ras突变阳性胰腺癌	157.0-157.9	C25
T03313	Interleukin-2 receptor alpha chain	Autoimmune diabetes	自身免疫性糖尿病		E08-E13
T03313	Interleukin-2 receptor alpha chain	Chronic lymphocytic leukaemia	慢性淋巴细胞性白血病		C91
T03313	Interleukin-2 receptor alpha chain	Heart transplant rejection	心脏移植排斥反应	996	T86
T03313	Interleukin-2 receptor alpha chain	Hodgkin's lymphoma	霍奇金淋巴瘤		C81
T03313	Interleukin-2 receptor alpha chain	Human immunodeficiency virus infection	人类免疫缺陷病毒感染	279.3	B20-B26
T03313	Interleukin-2 receptor alpha chain	Organ transplant rejection	器官移植排斥	"279.5, 996"	"D89.8, T86"
T03346	Interleukin-4 receptor alpha chain	Asthma	哮喘		J45
T03346	Interleukin-4 receptor alpha chain	Asthma; Atopic dermatitis	哮喘;特应性皮炎	"493, 691.8, 692.9"	"J45, L20-L30"
T03346	Interleukin-4 receptor alpha chain	Cancer	癌症	140-229	C00-C96
T03346	Interleukin-4 receptor alpha chain	Moderate-to-severe atopic dermatitis	中度至重度特应性皮炎		L20
T03346	Interleukin-4 receptor alpha chain	Pulmonary fibrosis	肺纤维化	"515, 516.3"	J84.1
T03403	Cyclooxygenase	Ankylosing spondylitis	强直性脊柱炎	720	"M08.1, M45"
T03403	Cyclooxygenase	Arthritis	关节炎	710-719	M00-M25
T03403	Cyclooxygenase	Asthma	哮喘		J45
T03403	Cyclooxygenase	Atopic dermatitis	特应性皮炎	"691.8, 692.9"	L00-L99
T03403	Cyclooxygenase	Back pain	背痛	"724.5,338,780"	"M54, G89, R52"
T03403	Cyclooxygenase	Cardiovascular disorder	心血管疾病		I00-I99
T03403	Cyclooxygenase	Cerebrovascular ischaemia	脑血管缺血	434.91	I61-I63
T03403	Cyclooxygenase	Chemotherapy or radiotherapy-induced mucositis	化学疗法或放射疗法引起的粘膜炎	"338, 528.0,780"	"K12.3, R52, G89"
T03403	Cyclooxygenase	Dysmenorrhea	痛经	625.3	N94.4-N94.6
T03403	Cyclooxygenase	Hyperglyceridemic	高血糖	790.29	R73.9
T03403	Cyclooxygenase	Immuno-modulator	免疫调节剂	"135, 691.8, 692.9, 710-719, 714"	"D86, L20, L20-L30, M00-M25, M05-M06"
T03403	Cyclooxygenase	Inflammation	炎		"E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89"
T03403	Cyclooxygenase	Inflammatory bowel disease	炎症性肠病	"555, 556"	"K50, K51"
T03403	Cyclooxygenase	Inflammatory disease	炎性疾病	"140-229, 147, 173, 573.3, 710-719"	"C11, C44, K75.9, M00-M25"
T03403	Cyclooxygenase	Joint and muscular pain; Ankylosing spondylitis	关节和肌肉疼痛；强直性脊柱炎	"719.4, 729.1, 338, 780, 720"	"M25.5, M79.1, G89, R52, M08.1, M45"
T03403	Cyclooxygenase	Migraine	偏头痛	346	G43
T03403	Cyclooxygenase	Osteoarthritis	骨关节炎	715	"M15-M19, M47"
T03403	Cyclooxygenase	Osteoarthritis of knee	膝盖骨关节炎		"M15-M19, M47"
T03403	Cyclooxygenase	Otitis media	中耳炎		H65-H67
T03403	Cyclooxygenase	Pain	疼痛	"338, 356.0, 356.8,780"	"G64, G90.0, R52, G89"
T03403	Cyclooxygenase	Platelet aggregatory	血小板聚集		D69.1
T03403	Cyclooxygenase	Postoperative inflammation undergone cataract extraction	白内障摘除术后炎症		
T03403	Cyclooxygenase	Rheumatoid arthritis	类风湿关节炎	"710-719, 714"	M05-M06
T03403	Cyclooxygenase	Type 2 diabetes; Early nephropathy; Claudication	2型糖尿病;早期肾病； lau行	"250, 250.00, 250.02, 250.4, 338, 437.6, 443.9, 453, 580-599, 671.5, 671.9,780"	"E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89"
T03403	Cyclooxygenase	Unspecified	未指定		
T03410	Mycobacterium tuberculosis membrane protein mmpL3	Asthma	哮喘		J45
T03410	Mycobacterium tuberculosis membrane protein mmpL3	Bacterial infections	细菌感染	"001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104"	A00-B99
T03500	MMP-12	Aortic aneurysm	主动脉瘤		I71
T03500	MMP-12	Asthma; Chronic obstructive pulmonary disease	哮喘;慢性阻塞性肺疾病	"490-492, 493, 494-496"	"J40-J44, J47, J45"
T03500	MMP-12	Atherosclerosis	动脉粥样硬化	"414.0, 440"	I70
T03500	MMP-12	Chronic obstructive pulmonary disease	慢性阻塞性肺疾病	"490-492, 494-496"	"J40-J44, J47"
T03500	MMP-12	Inflammatory disease	炎性疾病	"140-229, 147, 173, 573.3, 710-719"	"C11, C44, K75.9, M00-M25"
T03573	CD32b	Autoimmune diabetes	自身免疫性糖尿病		E08-E13
T03634	CBP	Acute myeloid leukemia; Chronic myeloid leukemia	急性髓细胞性白血病；慢性粒细胞白血病	"205.0, 205.1, 238.7"	"C92.0, C92.1, D46"
T03644	Alpha-synuclein	Alzheimer disease	老年痴呆症	331	G30
T03644	Alpha-synuclein	Parkinson's disease	帕金森氏病	332	G20
T03661	Adenosine deaminase	Chronic pain	慢性疼痛	"338.2,780"	"R52.1-R52.2, G89"
T03661	Adenosine deaminase	Hairy cell leukemia	毛细胞白血病	202.4	C91.4
T03661	Adenosine deaminase	Hematological malignancies	血液恶性肿瘤	200-209	C81-C86
T03661	Adenosine deaminase	Immunodeficiency	免疫缺陷	279.3	D84.9
T03691	Leukotriene A-4 hydrolase	Acute myeloid leukemia	急性粒细胞白血病	205	C92.0
T03691	Leukotriene A-4 hydrolase	Inflammatory disease	炎性疾病	"140-229, 147, 173, 573.3, 710-719"	"C11, C44, K75.9, M00-M25"
T03691	Leukotriene A-4 hydrolase	Myocardial infarction	心肌梗塞	410	"I21, I22"
T03790	Unspecified enzyme	Bacterial infections	细菌感染	"001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104"	A00-B99
T03790	Unspecified enzyme	Colorectal cancer	大肠癌	"153, 154"	C18-C21
T03790	Unspecified enzyme	Diabetes	糖尿病	"253.5, 588.1"	"E23.2, N25.1"
T03790	Unspecified enzyme	Haematological malignancies	血液恶性肿瘤	200-209	C81-C86
T03790	Unspecified enzyme	HCV infection	HCV感染	"070.4, 070.5, 070.70"	"B17.1, B18.2"
T03790	Unspecified enzyme	Lysosomal storage disease	溶酶体贮积病		E75-E77
T03790	Unspecified enzyme	Mycobacterium infection	分枝杆菌感染		A31
T03790	Unspecified enzyme	Obesity	肥胖	278	E66
T03790	Unspecified enzyme	Onchocerciasis	盘尾丝虫病		B73
T03871	mRNA of H-ras	Cancer	癌症	140-229	C00-C96
T03896	Hepatitis C virus serine protease NS3/4A	Chronic HCV infection	慢性HCV感染	"070.4, 070.5, 070.70"	"B17.1, B18.2"
T03896	Hepatitis C virus serine protease NS3/4A	HCV infection	HCV感染	"070.4, 070.5, 070.70"	"B17.1, B18.2"
T03917	Sodium/potassium-transporting ATPase	Congestive cardiac insufficiency; Arrhythmias; Heart failure	充血性心脏功能不全；心律失常;心脏衰竭	"427, 428"	"I47-I49, I50"
T03963	Voltage-gated ion channel	Asthma	哮喘		J45
T03985	Bacteria topoisomerase	Acquired immune deficiency syndrome	获得性免疫缺陷综合征	42	B20
T04079	Plasmodial phospholipid metabolism	Malaria	疟疾		B54
T04084	mRNA of ERBB3	Cancer	癌症	140-229	C00-C96
T04183	P-glycoprotein mediated multidrugresistance	Cancer	癌症	140-229	C00-C96
T04321	Staphylococcus aureus alpha hemolysin	Hospital-acquired pneumonia	医院获得性肺炎		J18.9
T04321	Staphylococcus aureus alpha hemolysin	Hospital-acquired pneumonia; Ventilator-associated pneumonia	医院获得性肺炎；呼吸机相关性肺炎		"J18.9, J95"
T04321	Staphylococcus aureus alpha hemolysin	Mucolytic	粘液溶解		J00-J99
T04321	Staphylococcus aureus alpha hemolysin	Pneumonia due to methicillin susceptible staphylococcus aureus	甲氧西林易感金黄色葡萄球菌引起的肺炎		J15.211
T04321	Staphylococcus aureus alpha hemolysin	Ventilator-associated pneumonia	呼吸机相关性肺炎		J95
T04361	Mitogen-activated protein kinase kinase kinase 7	Mantle cell lymphoma	套细胞淋巴瘤	"200.4, 202.8, 203.0, 208.9"	"C81-C86, C85.7, C90.0, C91-C95"
T04389	ATPase	Angina pectoris	心绞痛	413	I20
T04389	ATPase	Cognitive disorders	认知障碍	"290-294, 294.0, 780.09, 780.9, 780.93"	"F01-F07, F04, F05, R41.3"
T04394	Vasopressin receptor	Diabetes	糖尿病	"253.5, 588.1"	"E23.2, N25.1"
T04394	Vasopressin receptor	Diuretic	利尿剂		Y54.5
T04394	Vasopressin receptor	Heart failure	心脏衰竭	428	I50
T04394	Vasopressin receptor	Urinary incontinence	尿失禁	788.3	"N39.3, N39.4, R32"
T04507	Presynaptic density protein 95	Cerebrovascular ischaemia	脑血管缺血	434.91	I61-I63
T04689	Nicotinic acetylcholine receptor subunit alpha-1	Muscle relaxant	肌肉松弛剂		"N39.3, N39.4, R32"
T04741	Phosphoribosylaminoimidazolecarboxamide formyltransferase	Cancer	癌症	140-229	C00-C96
T04773	Stromal cell-derived factor 1	Heart failure	心脏衰竭	428	I50
T04773	Stromal cell-derived factor 1	Macular degeneration	黄斑变性	362.5	H35.3
T04820	Cyclin-dependent protein kinase Pfmrk	Malaria	疟疾		B54
T04883	Cyclooxygenase-3	Analgesia	止痛药	338	"R52, G89"
T04883	Cyclooxygenase-3	Pain	疼痛	"338, 356.0, 356.8,780"	"G64, G90.0, R52, G89"
T04902	Calpain	Alzheimer disease	老年痴呆症	331	G30
T04902	Calpain	Cerebral infarction	脑梗塞		I63
T04902	Calpain	Neurological disease	神经系统疾病	"338, 338.2, 410, 782.3,780"	"I21, I22, R52, R52.1-R52.2, R60.9, G89"
T04911	Hepatitis C virus protein NS4B	HCV infection	HCV感染	"070.4, 070.5, 070.70"	"B17.1, B18.2"
T04977	Oxalate oxidase	Hyperoxaluria	高草酸尿症		E74.8
T05031	PI3K beta	Cancer	癌症	140-229	C00-C96
T05031	PI3K beta	Solid tumours	实体瘤	"140-199, 210-229"	C00-D48
