Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05142:Chagas disease (American trypanosomiasis)	26	5.990783410138248	2.0839881973717492E-11	P01375, P48736, P53778, O15111, Q9UCR9, O00329, P05121, P22301, P28482, Q5VZI8, P01100, O15264, P13500, P25963, P27361, Q2XNF2, P19838, P60568, P05412, Q96T22, P42338, P42336, Q04206, O60603, P01584, Q9UD42	342	104	6879	5.0285087719298245	5.064092145623533E-9	1.8755896835642716E-10	2.6952018394865718E-8
KEGG_PATHWAY	hsa04620:Toll-like receptor signaling pathway	26	5.990783410138248	3.26765213204016E-11	Q9UDL5, Q9UHD2, P02778, P01375, P48736, Q02750, P53778, O15111, Q9UCR9, O00329, P28482, Q5VZI8, P01100, O15264, P25963, P27361, Q2XNF2, P19838, P05412, Q96T22, P42338, P42336, Q04206, O60603, Q15399, P01584	342	106	6879	4.933631247931149	7.940396340444522E-9	2.835855994476333E-10	4.226022864983747E-8
KEGG_PATHWAY	hsa05162:Measles	29	6.682027649769585	3.834795275111169E-11	Q9UDL5, P24385, O14763, Q9UHD2, Q9NZD0, P48736, P35225, O15111, O00329, O60674, Q5VZI8, P06241, Q15653, P49841, P25963, P19525, P19838, P24941, P50591, P60568, P42338, P42336, P11802, P0DMV8, Q04206, P05198, O60603, P40763, P01584	342	133	6879	4.385767049201951	9.318561922100344E-9	3.2132974059351227E-10	4.9595072493247017E-8
KEGG_PATHWAY	hsa04370:VEGF signaling pathway	20	4.6082949308755765	4.352588283643996E-11	P17252, P35354, P48736, Q2XNF2, Q02750, P53778, P27361, P04049, P35968, O00329, Q05397, P42338, P42336, P28482, Q9UC36, Q14434, P01116, Q9UEQ3, O15264, P01111	342	61	6879	6.5947656025309165	1.0576781339644015E-8	3.525594260977982E-10	5.629154919972734E-8
KEGG_PATHWAY	hsa05210:Colorectal cancer	20	4.6082949308755765	5.99585374760858E-11	P24385, Q9NZD0, P49841, P48736, P27361, Q02750, P35222, P99999, P04049, Q9UCZ6, P05412, O00329, P42338, P42336, P28482, H3BLT4, P42574, P01116, P01100, Q9UEQ3	342	62	6879	6.488398415393322	1.4569911166439908E-8	4.699971523081103E-10	7.754371589285824E-8
KEGG_PATHWAY	hsa05223:Non-small cell lung cancer	19	4.377880184331797	7.935014498792994E-11	P06400, P24385, Q9NZD0, P17252, P48736, P27361, Q02750, P04049, O00329, P42338, P11802, P42336, Q9UKM3, P28482, Q9GZX1, P01133, P01116, Q9UEQ3, P01111	342	56	6879	6.824404761904761	1.9282096697104123E-8	6.025655530095264E-10	1.0262282135187206E-7
KEGG_PATHWAY	hsa05140:Leishmaniasis	21	4.838709677419355	1.028544564246021E-10	Q9UDL5, Q15653, P25963, P35354, P01375, P53778, P27361, Q2XNF2, P19838, P05412, O60674, P22301, Q5VZI8, Q04206, P28482, P11215, O60603, P01100, O15264, Q9UD42, P01584	342	71	6879	5.949221645663454	2.4993643821247247E-8	7.57383156191338E-10	1.3302070556164836E-7
KEGG_PATHWAY	hsa05205:Proteoglycans in cancer	35	8.064516129032258	1.472795389991877E-10	P24385, Q9NZD0, P17252, P08581, P48736, P01375, P14780, Q02750, P62753, P53778, P35222, O00329, P17301, Q5VZI8, Q9GZX1, P28482, P42345, O15264, H0Y4K8, Q2XNF2, P27361, P04049, P08069, P35968, Q9UC68, Q05397, P42338, P08253, P42336, P42574, P00749, O60603, P01116, P01111, P40763	342	200	6879	3.519956140350877	3.578892315836413E-8	1.052615439256499E-9	1.9047514676628907E-7
KEGG_PATHWAY	hsa04115:p53 signaling pathway	20	4.6082949308755765	2.691820663371937E-10	P24385, Q9NZD0, Q9HCQ8, P06493, P24941, P58004, P17936, Q13315, P99999, Q9UCZ6, P14635, Q96T22, Q13535, P24522, P11802, P05121, P42574, P55957, Q9UEQ3, Q9UJ65	342	67	6879	6.004189578423671	6.541125330272735E-8	1.8688930403243376E-9	3.4813056881688453E-7
KEGG_PATHWAY	hsa05219:Bladder cancer	16	3.686635944700461	3.8704939719084815E-10	P06400, P24385, Q9NZD0, P27361, Q02750, P14780, Q9UCR9, P04049, P11802, P08253, P28482, Q9GZX1, P01133, P01116, P01111, P03956	342	41	6879	7.849379546427043	9.405299794540412E-8	2.6125833718637637E-9	5.005671543933943E-7
KEGG_PATHWAY	hsa05222:Small cell lung cancer	22	5.0691244239631335	5.133030691284302E-10	P06400, P24385, Q9NZD0, H0Y4K8, P25963, P35354, P48736, P19838, P24941, O15111, P99999, Q07817, O00329, P17301, Q05397, P42338, P11802, P42336, Q04206, Q9UEQ3, Q9UJ65, Q9UD42	342	85	6879	5.205985552115583	1.2473263744094965E-7	3.3711525793123087E-9	6.638497751509931E-7
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	26	5.990783410138248	5.653149879425757E-10	Q9NZD0, P48736, Q02750, P53778, Q13164, P35568, Q9UCZ6, O00329, P28482, O15264, P49841, P51812, Q15653, P25963, Q2XNF2, P27361, P19838, P00519, P04049, P05412, Q9BYY7, P42338, P42336, Q04206, P01116, P01111	342	120	6879	4.3580409356725145	1.3737153969906046E-7	3.6150407112245375E-9	7.311163119361197E-7
KEGG_PATHWAY	hsa05221:Acute myeloid leukemia	18	4.147465437788019	7.416759087610099E-10	P24385, P36888, P48736, Q02750, P27361, P19838, O15111, P04049, O00329, P42338, P42336, Q04206, P28482, P42345, P01116, P40763, P01111, P11309	342	56	6879	6.465225563909773	1.8022723791144557E-7	4.62121163558038E-9	9.592021510407278E-7
KEGG_PATHWAY	hsa05218:Melanoma	20	4.6082949308755765	8.049096972843463E-10	P06400, Q9P2Y8, P24385, Q9NZD0, P08581, P48736, Q02750, P27361, P08069, P04049, O00329, P42338, P11802, P42336, Q9GZX1, P28482, P01133, P01116, P01127, P01111	342	71	6879	5.6659253768223365	1.9559303665594996E-7	4.8898264326524554E-9	1.0409817452483594E-6
REACTOME_PATHWAY	R-HSA-74259:R-HSA-74259	9	2.0737327188940093	9.848122488915086E-10	Q8TCD5, P00491, P47989, P49902, P21589, P04040, Q9BXI3, P07203, Q96P26	368	11	9075	20.17663043478261	6.578543547686166E-7	3.289272314521696E-7	1.4758535837877673E-6
KEGG_PATHWAY	hsa05220:Chronic myeloid leukemia	20	4.6082949308755765	1.0446860839621603E-9	P06400, P24385, Q9NZD0, P25963, P48736, P27361, Q02750, P19838, P00519, O15111, P04049, Q07817, O00329, P42338, P11802, P42336, Q04206, P28482, P01116, P01111	342	72	6879	5.587231968810916	2.5385869395488925E-7	6.191676282796266E-9	1.3510822127749123E-6
REACTOME_PATHWAY	R-HSA-211935:R-HSA-211935	10	2.3041474654377883	1.0600871930181185E-9	Q16696, Q5TCH4, P10635, Q08477, P20853, Q6NT55, Q02928, P20813, P13584, Q9UIU8	368	15	9075	16.440217391304348	7.081380261064751E-7	2.3604606447236165E-7	1.5886617799054648E-6
REACTOME_PATHWAY	R-HSA-211981:R-HSA-211981	11	2.5345622119815667	1.3336663962375087E-9	Q9HB55, Q16696, P10635, P04798, P20853, Q4VAU1, P20813, P33261, P10632, P11712, P08684	368	20	9075	13.563179347826088	8.908887586533965E-7	2.2272226407604734E-7	1.9986513888348156E-6
KEGG_PATHWAY	hsa04931:Insulin resistance	24	5.529953917050691	1.796760790942117E-9	P49841, P51812, P25963, P01375, P48736, P19838, P35568, P18031, P11166, P11168, P14672, O00329, Q641R5, P11217, P42338, P42336, Q04206, Q14434, P11216, P42345, P06213, Q6PJ36, P40763, P55055	342	108	6879	4.469785575048733	4.366127649424456E-7	1.0395544203234408E-8	2.3237328616865227E-6
KEGG_PATHWAY	hsa05213:Endometrial cancer	17	3.9170506912442393	1.9017215636808134E-9	P24385, Q9NZD0, P49841, P48736, P27361, Q02750, P35222, P04049, O00329, P42338, P42336, P28482, Q9GZX1, P01133, P01116, Q9UEQ3, P01111	342	52	6879	6.5757422402159245	4.621182322361861E-7	1.0746938006178652E-8	2.4594776548703123E-6
KEGG_PATHWAY	hsa04664:Fc epsilon RI signaling pathway	19	4.377880184331797	2.7533922528546686E-9	P17252, P01375, P48736, Q2XNF2, Q02750, P53778, P27361, P35225, P05113, P04049, O00329, P42338, P04141, P42336, P28482, P06241, P01116, O15264, P01111	342	68	6879	5.620098039215686	6.690741040094039E-7	1.5206234604825397E-8	3.560934958013462E-6
KEGG_PATHWAY	hsa04932:Non-alcoholic fatty liver disease (NAFLD)	27	6.221198156682028	1.816618915014143E-8	P48736, P01375, P35568, Q9UCR9, Q9UCZ6, O00329, P17861, Q96BA0, P48357, P06213, Q6PJ36, P49840, P47985, O75460, P49841, Q9B2X7, P19838, P99999, Q96T22, P05412, P42338, P42336, Q04206, P05198, P42574, P55957, P01584	342	151	6879	3.5965493203206687	4.414374250139019E-6	9.809741730038013E-8	2.3494150114267143E-5
KEGG_PATHWAY	hsa04380:Osteoclast differentiation	25	5.76036866359447	1.8760707426942643E-8	Q9UDL5, Q9P2Y8, P25963, P48736, Q9HBY0, P01375, P27361, P53778, Q02750, Q2XNF2, P19838, O15111, P05412, P04839, O00329, Q9Y5S8, P42338, P42336, P28482, O00300, Q04206, P06241, P01100, O15264, P01584	342	131	6879	3.8385563144502473	4.5588415571451435E-6	9.910547227320876E-8	2.4263034603677625E-5
KEGG_PATHWAY	hsa04975:Fat digestion and absorption	14	3.225806451612903	2.1898981330467592E-8	Q13787, Q9UN09, P04054, O15496, P16233, Q8WTV0, Q9H222, Q9UNK4, Q9H221, P39877, Q9NZK7, Q9BZM2, Q5R387, Q9UHC9	342	39	6879	7.220422852001799	5.321438354077834E-6	1.1322238746558355E-7	2.8321732170599745E-5
KEGG_PATHWAY	hsa04662:B cell receptor signaling pathway	18	4.147465437788019	2.4964529855686905E-8	Q15653, P49841, P25963, P48736, P27361, Q02750, P19838, O15111, P04049, P05412, O00329, P42338, P42336, Q04206, P28482, P01116, P01100, P01111	342	69	6879	5.247139588100686	6.06636243805081E-6	1.2638292612443536E-7	3.228637472929563E-5
KEGG_PATHWAY	hsa05134:Legionellosis	16	3.686635944700461	2.9245871032056995E-8	P25963, P01375, P19838, P99999, Q9UCR9, Q96T22, P0DMV8, Q5VZI8, Q04206, P42574, P11215, O60603, Q96BA0, Q9UJ65, Q9UEQ3, P01584	342	54	6879	5.959714100064977	7.106721518157499E-6	1.450356378329687E-7	3.7823389109625793E-5
KEGG_PATHWAY	hsa04012:ErbB signaling pathway	20	4.6082949308755765	3.126381364879319E-8	P49841, P17252, Q6NZY6, P48736, P27361, Q02750, P00519, P04049, P05412, O00329, Q05397, P42338, P42336, Q9UKM3, P28482, Q9GZX1, P01133, P42345, P01116, P01111	342	87	6879	4.623916112119379	7.597077977483657E-6	1.5194212521496553E-7	4.043317336499541E-5
KEGG_PATHWAY	hsa04930:Type II diabetes mellitus	15	3.4562211981566824	4.308228989264811E-8	P01375, P48736, P27361, P35568, P52945, P14672, P11168, O00329, P42338, P52789, P42336, P28482, P42345, P06213, Q96E76	342	48	6879	6.28563596491228	1.0468941858521319E-5	2.052744232372561E-7	5.571788492808594E-5
REACTOME_PATHWAY	R-HSA-211999:R-HSA-211999	8	1.8433179723502304	4.7960405316316004E-8	Q16696, P10635, P20853, Q4VAU1, P20813, P33261, P10632, P11712	368	11	9075	17.934782608695652	3.20370383209978E-5	6.40748977553951E-6	7.187412034426188E-5
REACTOME_PATHWAY	R-HSA-3299685:R-HSA-3299685	12	2.7649769585253456	5.045234223354431E-8	P59796, P99999, P04839, P09211, P00390, Q9NPH5, P22352, P18283, P04040, P07203, Q9UJU4, Q96PJ9	368	34	9075	8.703644501278772	3.370159752347224E-5	5.617011797021121E-6	7.560856977173458E-5
KEGG_PATHWAY	hsa00591:Linoleic acid metabolism	12	2.7649769585253456	5.857954499318572E-8	P05177, Q9UNK4, P39877, Q9NZK7, Q9BZM2, P04054, P33261, O15496, P10632, P11712, Q5R387, P08684	342	29	6879	8.323049001814882	1.4234728535456043E-5	2.7374669042679045E-7	7.576031954004137E-5
KEGG_PATHWAY	hsa04071:Sphingolipid signaling pathway	23	5.299539170506913	7.38360505403172E-8	Q9NZD0, Q9UQ99, P17252, P01375, P48736, Q2XNF2, Q02750, P53778, P27361, P19838, P04049, Q9UCZ6, O00329, P42338, P42336, Q04206, P28482, P06241, Q14434, P55957, P01116, O15264, P01111	342	120	6879	3.8551900584795322	1.7941999973292155E-5	3.385312810078034E-7	9.549139159403808E-5
KEGG_PATHWAY	hsa05133:Pertussis	18	4.147465437788019	9.44978607000727E-8	P01375, P53778, P27361, Q2XNF2, P19838, Q9UCR9, P05412, P22301, Q04206, P28482, Q5VZI8, P42574, P11215, Q96BA0, P01100, O15264, Q9UD42, P01584	342	75	6879	4.827368421052632	2.296271757507018E-5	4.25240302637242E-7	1.2221307941207016E-4
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	42	9.67741935483871	1.0914023107729333E-7	P24385, Q15831, Q9NZD0, Q9NX09, P17252, P08581, P48736, Q02750, P62753, P35568, O15111, O00329, O60674, P17301, Q5VZI8, P28482, Q9GZX1, P06213, P42345, P01127, Q9UEQ3, P49841, H0Y4K8, Q9UHR8, P27361, P19838, P24941, P04049, P08069, P60568, Q07817, P35968, Q05397, P42338, P42336, P11802, Q04206, Q14434, P01133, O60603, P01116, P01111	342	345	6879	2.4486651411136537	2.6520725917800192E-5	4.822012946714693E-7	1.4114988923230598E-4
REACTOME_PATHWAY	R-HSA-211958:R-HSA-211958	8	1.8433179723502304	1.1111417689528049E-7	Q9HB55, Q5TCH4, P10635, Q08477, Q6NT55, Q02928, P13584, Q9UIU8	368	12	9075	16.440217391304348	7.42215197124807E-5	1.0603411535692331E-5	1.6651715391002853E-4
